STATE_FIPS,CNTY_FIPS,STCOFIPS,STATE_NAME,STATE_ABBR,COUNTY,G1V1R,G1V2R,G1V3R,G1V4R,G2V1R,G2V2R,G2V3R,G2V4R,G3V1R,G3V2R,G4V1R,G4V2R,G4V3R,G4V4R,G4V5R,CAG1V1P,CAG1V2P,CAG1V3P,CAG1V4P,CAG1TP,CAG2V1P,CAG2V2P,CAG2V3P,CAG2V4P,CAG2TP,CAG3V1P,CAG3V2P,CAG3TP,CAG4V1P,CAG4V2P,CAG4V3P,CAG4V4P,CAG4V5P,CAG4VTP,CATP,CAG1V1F,CAG1V2F,CAG1V3F,CAG1V4F,CAG1TF,CAG2V1F,CAG2V2F,CAG2V3F,CAG2V4F,CAG2TF,CAG3V1F,CAG3V2F,CAG3TF,CAG4V1F,CAG4V2F,CAG4V3F,CAG4V4F,CAG4V5F,CAG4TF,CATF,Totpop2000,Totalhu,G1V1N,G1V2N,G1V4N,G2V1N,G2V2N,G2V3N,G2V4N,G3V1N,G3V2N,G4V1N,G4V2N,G4V3N,G4V4N,G4V5N
06,001,06001,California,CA,Alameda ,0.1104,0.0359,26680.0,0.1764,0.1023,0.2448,0.1865,0.0885,0.5919,0.085,0.2037,0.013,0.1222,0.1095,0.0192,0.2456,0.2632,0.8947,0.4211,0.3684,0.3333,0.4035,0.3333,0.4035,0.193,0.9123,0.614,0.7719,0.9474,0.0351,0.614,0.9298,0.4211,0.6842,0.4561,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,2,3,1443741,540183,156804,40361,168281,147663,353460,248558,46335,854498,114406,110057,6998,63965,57287,27651
06,003,06003,California,CA,Alpine ,0.1948,0.0559,24431.0,0.1167,0.0985,0.2276,0.1587,0.0813,0.2798,0.0113,0.3137,0.0324,0.0745,0.0621,0.0,0.7895,0.7368,0.7719,0.0702,0.7193,0.2281,0.1754,0.0351,0.2807,0.0175,0.4035,0.1404,0.2807,0.9825,0.1404,0.4035,0.3158,0.0,0.1404,0.2281,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1208,1514,232,55,93,119,275,182,40,338,13,475,49,36,30,0
06,005,06005,California,CA,Amador ,0.0922,0.0213,22412.0,0.1603,0.1809,0.2075,0.2261,0.0822,0.1756,0.0098,0.0326,0.0861,0.0352,0.0578,0.1314,0.1754,0.0175,0.6842,0.2807,0.0702,0.9298,0.0526,0.8421,0.3333,0.5088,0.193,0.1228,0.1404,0.2105,0.5614,0.0175,0.2281,0.9474,0.193,0.1754,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,2,35100,15035,2808,620,4096,6348,7282,6591,1047,6165,330,490,1295,449,738,4611
06,007,06007,California,CA,Butte ,0.1979,0.053,17517.0,0.1774,0.1573,0.2394,0.2147,0.0939,0.2019,0.0304,0.0786,0.1609,0.0606,0.0765,0.0288,0.8421,0.6316,0.3684,0.4561,0.6842,0.7719,0.3333,0.7018,0.5614,0.614,0.2632,0.3333,0.2982,0.5439,0.8596,0.3333,0.5088,0.6316,0.6667,0.6842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203171,85523,39148,8494,22477,31966,48647,40735,7481,41029,5822,6720,13761,4820,6087,5860
06,009,06009,California,CA,Calaveras ,0.1179,0.0416,21420.0,0.143,0.1802,0.2269,0.2131,0.0688,0.1239,0.0078,0.0073,0.0896,0.0425,0.0577,0.0105,0.3333,0.3684,0.6316,0.1404,0.2105,0.9123,0.1404,0.6667,0.0702,0.3684,0.0526,0.0702,0.0351,0.0,0.5965,0.1404,0.2105,0.1228,0.0526,0.0702,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,40554,22946,4704,1353,4176,7309,9201,8199,1131,5026,302,168,2055,700,951,424
06,011,06011,California,CA,Colusa ,0.1607,0.0637,14730.0,0.3599,0.1097,0.3162,0.1965,0.0906,0.5246,0.1577,0.0369,0.0964,0.1789,0.0751,0.0239,0.6316,0.807,0.1228,0.9474,0.7895,0.4211,0.8947,0.4035,0.4912,0.5614,0.7544,0.9474,0.8772,0.2632,0.614,0.9123,0.4737,0.5263,0.6316,0.7544,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,3,18804,6774,2964,868,3927,2062,5945,3343,551,9865,2724,250,653,1091,458,449
06,013,06013,California,CA,Contra Costa ,0.0763,0.0313,30615.0,0.1309,0.1127,0.2645,0.1681,0.082,0.4226,0.0536,0.1226,0.0201,0.074,0.065,0.012,0.0877,0.1579,0.9298,0.1228,0.1228,0.4737,0.5965,0.1579,0.3158,0.2456,0.5614,0.4561,0.4912,0.7544,0.0877,0.386,0.3684,0.1579,0.1228,0.1053,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,948816,354577,71575,22680,81867,106904,251006,147572,28252,400979,47346,43458,7120,25477,22353,11376
06,015,06015,California,CA,Del Norte ,0.2017,0.0495,14573.0,0.2836,0.1261,0.2509,0.2501,0.1369,0.2994,0.0279,0.0348,0.2532,0.0585,0.1033,0.1396,0.8596,0.5263,0.0877,0.7719,0.6491,0.5789,0.4561,0.9474,1.0,0.9649,0.4386,0.2982,0.386,0.2281,0.9474,0.3158,0.8772,0.9649,0.9123,0.8421,0,0,0,0,0,0,0,1,1,2,0,0,0,0,1,0,0,1,2,4,27507,10434,4765,1070,5235,3470,6901,5568,1257,8235,725,363,2642,536,947,3839
06,017,06017,California,CA,El Dorado ,0.0715,0.0349,25560.0,0.1093,0.1248,0.2603,0.1741,0.0797,0.1515,0.0168,0.0412,0.0591,0.0521,0.0456,0.0067,0.0526,0.2281,0.807,0.0526,0.0526,0.5088,0.5439,0.193,0.2456,0.2281,0.1053,0.2105,0.1404,0.2807,0.4211,0.2456,0.0,0.0175,0.0351,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156299,71278,11079,4206,11480,19508,40688,25535,4706,23682,2476,2935,4209,3072,2688,1055
06,019,06019,California,CA,Fresno ,0.2289,0.0706,15495.0,0.3248,0.0988,0.3197,0.213,0.1273,0.6041,0.1185,0.1263,0.047,0.1712,0.1119,0.0221,0.9825,0.9123,0.1579,0.9123,0.9825,0.2456,0.9298,0.6491,0.9298,0.8246,0.9649,0.8421,0.9298,0.7719,0.2807,0.8947,0.9649,0.4737,0.9298,0.9825,1,1,0,1,3,0,1,0,1,2,1,0,1,0,0,0,1,0,1,7,799407,270767,179085,40334,147937,78999,255578,153545,32238,482919,86776,34211,12737,43309,28311,17674
06,021,06021,California,CA,Glenn ,0.1815,0.0546,14069.0,0.3154,0.1281,0.3059,0.1841,0.1046,0.3801,0.1014,0.0521,0.1347,0.1278,0.0806,0.0147,0.7193,0.6842,0.0351,0.8772,0.7018,0.6316,0.807,0.2982,0.7018,0.7018,0.5088,0.807,0.6667,0.4035,0.7719,0.7018,0.6316,0.193,0.614,0.7544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26453,9982,4729,1053,5077,3388,8091,4443,962,10056,2480,520,1345,1172,739,388
06,023,06023,California,CA,Humboldt ,0.1953,0.0517,17203.0,0.1509,0.1257,0.2309,0.2124,0.1076,0.1813,0.0146,0.0437,0.098,0.0493,0.0874,0.0323,0.8246,0.5789,0.2982,0.2456,0.4561,0.5614,0.2456,0.6316,0.7544,0.5263,0.2105,0.193,0.193,0.3333,0.6491,0.193,0.7895,0.6491,0.5439,0.5263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126518,55912,24059,5209,12298,15904,29211,25116,5513,22934,1744,2442,5481,2524,4479,4081
